Количество рассмотренных параграфов,Имя,Пол,Возраст,Одежда,Волосы,Внешний вид,Глаза,Взаимоотношения,Поведение,Эмоции,Цель,Профессия,Голос,Персональные качества,Достижения,Вещи
6,Алексеев,мужской , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , холодные , враждебность к Екатерине; враждебность к Пётру Ивановичу ," агрессивное, угрожающее ", обида; злость , уничтожить Екатерину и подавить просвещение , полковник , CANNOT ANSWER , мстительный , CANNOT ANSWER , CANNOT ANSWER
7,Алексеев,мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,холодные,враждебность к Екатерине и Пётру Ивановичу,агрессивное; угрожающее; решительное,обида; гнев,уничтожить Екатерину; подавить просвещение,полковник,мстительный; коррупционный; решительный,CANNOT ANSWER,CANNOT ANSWER,громкий
2,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"к Пётру Ивановичу — теплое, привязанное, тревожное",внимательная; сочувствующая; открытая,радость; волнение; тревога,поддержать открытие школы кузнечных навыков для детей,учительница,CANNOT ANSWER,образованная; благородная; сострадательная,CANNOT ANSWER,CANNOT ANSWER
3,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,к Пётру Ивановичу — влечение и надежда,улыбчивая; внимательная; эмоциональная,взволнованность; радость; тревога,продвигать образование детей,учительница,CANNOT ANSWER,образованная; чувствительная; доброжелательная,CANNOT ANSWER,CANNOT ANSWER
4,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"к Пётру Ивановичу — влюблённость; к Марусе — забота; к незнакомцу — настороженность, затем доверие",внимательная; заботливая; сострадательная; открытая,любовь; волнение; вдохновение; решимость,открыть школу; сопротивляться закрытию школ; защищать образование; поддерживать Петра,учительница,CANNOT ANSWER,образованная; дворянка‑образованная; чистая вера в чудо,получила образование; стала учительницей,CANNOT ANSWER
5,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Пётру Ивановичу; преданность образованию,заботливая; решительная,любовь; страх; решимость,продвижение образования; сопротивление закрытию школ,учительница,CANNOT ANSWER,образованность; решительность,CANNOT ANSWER,CANNOT ANSWER
6,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,влюблена в Петра Ивановича; вражда с полковником Алексеевым,"заботливое, решительное",любовь; страх; решимость,защитить школу и бороться с репрессивным порядком,учительница,простодушный,образованность; смелость; сострадание,разоблачила коррупцию полковника; спасла девушек от принудительной службы,CANNOT ANSWER
7,Екатерина Петровна,женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Петру Ивановичу; враждебность к полковнику Алексееву,заботливая; решительная; конфликтная,любовь; страх; решимость,защитить образование девочек и противостоять закрытию школ,учительница,CANNOT ANSWER,смелость; сострадательность; решительность; образованность,разоблачила коррупцию полковника Алексеевa и спасла нескольких девушек от принудительной службы,CANNOT ANSWER
1,Маруся,женский,детский,рваная кружевная «платочка»,CANNOT ANSWER,босая; маленького роста,CANNOT ANSWER,восхищение учительницей; доверие,хихикает; бросает крошки хлеба; задает вопросы,радость; уверенность; любопытство,"узнать, где Пушкин",CANNOT ANSWER,простодушный,неистовая уверенность; простодушие,CANNOT ANSWER,крошки хлеба
2,Маруся,женский,примерно 5 лет,рваная кружевная платочка,CANNOT ANSWER,"крошка, босая, в рваной кружевной платочке",CANNOT ANSWER,восхищение и доверие к учительнице,игривое; любопытное; радостное,радость; восторг; уверенность,"узнать, где Пушкин",CANNOT ANSWER,простодушный,простодушие; неистовая уверенность; игривость,CANNOT ANSWER,крошки хлеба
3,Маруся,женский,детский,рваная кружевная платочка,CANNOT ANSWER,босые; маленькая,CANNOT ANSWER,доверие к учительнице; любопытство,игривое; хихикающее; бросает крошки хлеба,радость; уверенность; игривость,"узнать, где Пушкин",CANNOT ANSWER,простодушный,простодушность; уверенность; любопытство,CANNOT ANSWER,крошки хлеба
4,Маруся,женский,детский,рваная кружевная платочка,CANNOT ANSWER,маленькая; босая,CANNOT ANSWER,восхищение учительницей,игривое; хихикающее; бросает крошки хлеба,радость; уверенность; восторг,услышать стихи Пушкина,CANNOT ANSWER,простодушный,неистовая уверенность; игривость,CANNOT ANSWER,крошки хлеба; листок бумаги
5,Маруся,женский,CANNOT ANSWER,рваная кружевная платочка,CANNOT ANSWER,маленькая; босая,CANNOT ANSWER,восхищение учительницей; доверие к учительнице,бегает к печи; бросает крошки хлеба; хихикает; спрашивает,радость; игривость; уверенность,узнать Пушкина; слушать стихи,CANNOT ANSWER,простодушный,простодушность; игривость,CANNOT ANSWER,крошки хлеба
6,Маруся,женский,CANNOT ANSWER,рваная кружевная платочка,CANNOT ANSWER,крошечный рост; босая; маленькая девочка,CANNOT ANSWER,уважительное отношение к учительнице; доверие к взрослым,игривое; любопытное; резвое,радость; уверенность; восторг,"узнать, где Пушкин; повторять стихи Пушкина",CANNOT ANSWER,простодушный,простодушие; любопытство; неистовая уверенность,CANNOT ANSWER,крошки хлеба; листок
7,Маруся,женский,CANNOT ANSWER,рваная кружевная платочка,CANNOT ANSWER,"маленькая, босая",CANNOT ANSWER,доверчивая к учительнице; любопытная,бегает; хихикает; бросает крошки хлеба,радость; восторг; неистовая уверенность,узнать Пушкина,CANNOT ANSWER,простой; простодушный,простодушие; доверчивость; неистовая уверенность,CANNOT ANSWER,крошки хлеба
1,Пушкин,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
2,Пушкин,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
3,Пушкин,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,поэт,CANNOT ANSWER,CANNOT ANSWER,создал известные стихи,CANNOT ANSWER
4,Пушкин,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
