Пол,Возраст,Одежда,Волосы,Внешний вид,Глаза,Взаимоотношения,Поведение,Эмоции,Цель,Профессия,Голос,Персональные качества,Достижения,Вещи
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"холодный, как озеро Тайги",CANNOT ANSWER,подошёл к Марии,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"холодный, как озеро Тайги",холодный,подошёл к ней с холодным взглядом,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,холодный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,влюблён в Марию,"подошёл к ней, холодный взгляд",CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,строгое решительное лицо,CANNOT ANSWER,"влюблён в Марию, поддерживает её",решительный; смелый; поддерживает Марию,любовь; решимость,помочь открыть школу для девочек и поддержать просвещение,CANNOT ANSWER,CANNOT ANSWER,смелый; решительный,совместно добился открытия учебного кабинета,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"строгое решительное лицо, холодный взгляд","холодные, как озеро Тайги",любовь к Марии; враждебность к консервативному совету и Петровичу,решительный; уверенный; агрессивный,любовь; решимость; гнев,поддержать открытие школы для девочек и подорвать старый порядок,агент революционного кружка,CANNOT ANSWER,смелость; решительность,помог убедить совет разрешить открыть учебный кабинет; раскрыл свою роль как агент,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,строгое лицо; решительное выражение,холодный взгляд,влюблён в Марию,решительный; смелый; целеустремлённый,любовь; решимость,подорвать старый порядок; поддержать просвещение,агент революционного кружка,CANNOT ANSWER,решительность; смелость; преданность делу,способствовал открытию школы для девочек,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Марии; союзник в борьбе за просвещение; противник старого порядка,решительный; целеустремлённый; скрытный,любовь к Марии; решительность; гнев к старому порядку,поддержать открытие школы и подорвать старый порядок,агент революционного кружка,CANNOT ANSWER,смелый; решительный; преданный делу; скрытный,CANNOT ANSWER,CANNOT ANSWER
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Илье,CANNOT ANSWER,волнение; любовь,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Илье,CANNOT ANSWER,волнение; любовь,быть с Ильей,CANNOT ANSWER,CANNOT ANSWER,смелая; новаторская,организовала женский вечер чтения,CANNOT ANSWER
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,любовь к Илье; преданность просвещению,организует женский вечер чтения; тайно встречается с Ильей,волнение; тревога; любовь,сохранить женские вечерние чтения и просвещение в деревне,CANNOT ANSWER,CANNOT ANSWER,смелость; преданность образованию,организовала женские вечера чтения; привлекла детей к произведениям Пушкина,CANNOT ANSWER
