Пол,Возраст,Одежда,Волосы,Внешний вид,Глаза,Взаимоотношения,Поведение,Эмоции,Цель,Профессия,Голос,Персональные качества,Достижения,Вещи
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"уважительное, дружелюбное",CANNOT ANSWER,"ожидание, надежда",CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,обращается за пошивом гардероба,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"видит как портного, просит пошить гардероб",CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"положительное отношение, рассматривают как мастера по пошиву",CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,портной,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
